"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"04/04/2017","16:30","06.3","353","13.7","14.2","N/A","1025.8","3.53","0.68","0.74","0.84","17.07"
"04/04/2017","16:35","13.2","330","15.6","14.0","N/A","1025.8","3.51","0.92","1.06","0.84","17.07"
"04/04/2017","16:40","13.4","334","15.9","13.8","N/A","1026.0","3.60","0.88","0.94","0.84","17.07"
"04/04/2017","16:45","13.1","340","15.3","13.7","N/A","1025.9","3.65","0.78","0.86","0.94","15.06"
"04/04/2017","16:50","13.8","343","17.3","13.6","N/A","1025.8","3.70","0.82","0.88","0.94","15.06"
"04/04/2017","16:55","14.4","346","17.0","13.5","N/A","1025.9","3.77","0.81","0.86","0.94","15.06"
"04/04/2017","17:00","13.8","350","15.4","13.5","N/A","1025.9","3.78","0.81","0.94","0.94","13.48"
"04/04/2017","17:05","12.5","349","15.5","13.4","N/A","1026.1","3.86","0.80","0.91","0.94","13.48"
"04/04/2017","17:10","13.9","354","17.3","13.4","N/A","1025.9","3.86","0.73","0.78","0.94","13.48"
"04/04/2017","17:15","11.5","351","14.9","13.3","N/A","1026.3","3.88","0.78","0.84","0.79","17.07"
"04/04/2017","17:20","11.6","346","14.4","13.3","N/A","1026.3","3.92","0.74","0.87","0.79","17.07"
"04/04/2017","17:25","12.5","346","14.7","13.2","N/A","1026.3","3.99","0.88","0.98","0.79","17.07"
"04/04/2017","17:30","11.4","349","13.5","13.2","N/A","1026.3","3.98","0.98","1.06","0.92","15.06"
"04/04/2017","17:35","11.1","348","13.4","13.2","N/A","1026.3","4.05","0.84","0.94","0.92","15.06"
"04/04/2017","17:40","11.1","351","13.0","13.2","N/A","1026.4","4.07","0.75","0.83","0.92","15.06"
"04/04/2017","17:45","10.9","349","12.5","13.1","N/A","1026.4","4.11","0.96","1.05","0.86","13.48"
"04/04/2017","17:50","09.0","358","10.5","13.1","N/A","1026.4","4.10","0.99","1.19","0.86","13.48"
"04/04/2017","17:55","07.2","004","08.8","13.1","N/A","1026.4","4.17","0.83","0.88","0.86","13.48"
"04/04/2017","18:00","07.4","006","09.3","13.0","N/A","1026.4","4.12","0.85","0.89","0.98","15.06"
"04/04/2017","18:05","08.5","358","09.8","13.1","N/A","1026.6","4.17","0.85","1.00","0.98","15.06"
"04/04/2017","18:10","07.6","352","08.7","13.1","N/A","1026.6","4.20","0.99","1.03","0.98","15.06"
"04/04/2017","18:15","06.5","355","07.3","13.1","N/A","1026.6","4.15","0.87","0.96","1.00","17.07"
